catcherid,runs_per_7000,runs_per_7000_lb,runs_per_7000_ub,chances
5385,73.37047385529006,45.10432622789806,90.08886158666137,69
14189,67.46945782452403,34.05289590756263,87.27202920118344,57
6382,60.119080556715396,22.89215902783648,82.85831089650273,54
6428,52.56346195660974,44.864621969165405,59.49192838078782,1097
4649,52.004523194150195,33.27793823503678,66.77494395048254,421
165098,49.85037725327849,19.23245431459522,71.40034522756523,169
5404,46.78534995468152,37.824836717145025,54.81581161039173,2617
2906,46.270184973337635,8.694285589611301,71.59861537733354,117
199733,45.40319583679536,0.15710809892231617,74.14497196169464,77
5560,43.04801779088313,14.554653124210336,64.2254740968952,301
165572,40.85124947845397,34.91831541551253,46.40088899075874,1541
103943,39.22482674708563,35.38500093867206,42.904583798642285,2598
97,37.600690048276064,31.045082664869003,43.71410430750149,1013
9030,37.34164129417824,31.47631561738554,42.85187006579344,3364
2113,36.06962629656564,17.159227012575577,51.778044668289134,305
4201,35.631446175132425,21.949922503011948,47.56611080034599,2722
5766,34.91488987912247,13.298463874419356,52.50507223288137,381
93822,33.890389992289606,18.875523912714424,46.875086192215605,2321
8710,33.740381800430086,-12.984819626533868,65.13978897865651,69
3010,33.54081611509571,-7.545801415925262,62.32611777120133,125
265,32.74937437082021,-22.319619335504544,67.87810286351946,50
6073,32.00870286254035,24.458580583649034,39.02326825622595,1906
7849,28.954429198124515,-37.59776114695958,69.2924759024741,22
1630,28.541954248157918,21.031417456750813,35.547033497396654,1094
7123,28.394147722444995,12.382201063614671,42.27408261582788,586
8703,27.217677761674548,-15.264127505031992,57.51175305798438,130
7745,26.490961702534673,15.988374732002121,36.05617947197855,3199
1375,26.34329690774758,-18.1265647385283,57.74679696735506,186
2879,25.98385871789858,-1.0946900289257222,47.62395125773009,418
6035,24.96060671577489,15.829770032929739,33.38871940634255,1820
387,24.775969712790285,7.1941872665442945,39.92945296693929,2215
2795,24.219795149105387,7.889642354484195,38.448675821007576,2893
163493,23.81965856342609,5.9949186470138764,39.18146900355617,403
6974,21.0391099398737,11.861233705121549,29.541557801944048,732
11926,20.870065132385918,-39.9372122065885,60.6316638991816,60
56,20.322086695746066,-29.43577108573473,55.14325349041749,135
158503,20.273106147674568,8.227497903249864,31.191693558631258,1010
161285,19.42139684532472,12.327886464941585,26.11283478609449,2171
4320,18.672799108320465,18.266209919778667,19.07800656121336,1601
3724,18.22233865957163,-33.28163639649926,54.18878381298871,79
883,18.13002730558374,11.850510672208795,24.097450182998823,1676
205248,16.734278055358455,-64.04413931570778,65.13781696330818,11
6144,16.592856621292324,2.409212299229771,29.303789541813405,605
163058,15.403306807047827,-26.70327105020508,46.82661985403454,234
299,15.038946688239257,-2.3933318630691747,30.33514541682825,440
4024,15.03180144452645,-0.9885115624542952,29.230309452126033,2726
4263,14.375183733700252,6.56014767930029,21.733667814482313,1064
164007,13.353555121224272,-45.17705105332694,53.389953389612195,72
6829,12.355220398022883,-2.3069885061399975,25.522161403438236,2669
3931,12.284332375082425,-38.32514413553187,48.60150232465882,125
167831,11.739109139207853,-29.814987481340644,43.20853864859766,212
159064,10.267655807670055,-0.4541887503721043,20.186729490483316,1977
11685,10.24536592674652,1.045928124114388,18.84766419516859,1848
168241,8.960993688743022,-18.008564565058975,31.422895235900867,455
2847,8.290143166933246,0.6653889935368374,15.509210634136057,3246
354,8.021683020566263,-4.513496154010628,19.499564127767986,1253
7460,5.783004362653111,-13.853342976618105,22.998466238795714,540
147944,5.781029914971938,-7.587213800537938,17.981810108440694,794
6574,5.751445371287256,-13.566281710275616,22.722331192371076,3495
7065,4.159450293567917,-2.6560333238317524,10.663631959066354,2897
3341,3.7730247516926196,-5.204971349488632,12.220723664691015,1957
3758,3.7585740077495027,-14.087876520648623,19.624496080806406,562
5906,3.273826544558909,-5.771576862987462,11.78405994059588,1134
6081,3.0049252534440707,-9.866066355566694,14.82157662406264,891
2719,1.854607338531593,-15.915705800219834,17.69788732824378,635
5680,0.29633211157078515,-22.07201983140798,19.738553738333,464
126402,-0.4063833885849389,-8.249217833008263,7.046585717372736,3200
10615,-0.858674911154318,-6.759857903398806,4.820123196081615,5288
1550,-0.8600073849070068,-13.4157235873421,10.729792072375709,855
3820,-2.5097494614861637,-12.831456620059225,7.16134133167093,2155
5594,-3.6481438619628426,-27.422116578416848,16.967752502140453,1645
3485,-4.449733850744638,-13.368540871804683,3.988780386160809,1456
1129,-5.624592369988711,-60.75670347109659,35.23907767317014,142
311,-6.074016331481816,-21.00249936332212,7.576091340695451,773
8032,-6.571662275820878,-13.920593565585241,0.45513240931436055,1995
160235,-6.916695000457185,-17.94867092380579,3.4072825194798884,2180
2053,-7.262567309343313,-20.621927372470783,5.075768978902489,1732
3515,-7.310309752593454,-27.25311818859809,10.439943902070237,650
1311,-8.134115038727835,-22.63261182887882,5.179551967336338,2919
162226,-8.163124754266727,-15.93044265912373,-0.7490704219105538,3129
5343,-8.434028934644521,-25.43294676107985,6.963129357154382,2071
3920,-8.643805686751625,-28.04016358065633,8.69820908629037,586
1898,-8.725834940507173,-33.99983983758683,13.169709592024498,539
160096,-9.25606991367136,-89.26991107906444,44.45147552636759,28
2496,-10.780600330861601,-16.513835440400047,-5.237084044582916,1147
163522,-10.979297039579444,-32.004463258600346,7.703979265669129,2242
1542,-12.060517478663517,-24.064083434615807,-0.849915947892479,3130
2564,-12.508841427367773,-66.37595152913137,28.381391717393324,205
11927,-14.034434621979504,-65.80517010175245,25.782682560906824,182
162170,-15.123540818235922,-23.8225406102007,-6.836325776654987,1250
1705,-15.190011437190831,-31.994840845869444,0.14338417859214525,3051
4860,-17.076375257818967,-36.1668561885407,0.16886180312531976,707
14151,-17.581740882717934,-81.9630635446992,29.722496666166375,94
10117,-18.129108745438447,-35.31945505423941,-2.4350702410114105,829
5235,-19.219703541359152,-24.485877357272287,-14.101363290774405,3854
7758,-19.695382347966913,-69.23863848546355,19.26979163011451,241
