rank,playerid,opportunities,OAA_mean,OAA_std,OAA_per_Opp
1,162066,228.0,10.82,4.81,0.047
2,162648,196.6,9.09,4.00,0.046
3,197513,90.4,4.42,1.89,0.049
4,9742,97.6,4.22,1.80,0.043
5,154448,225.9,4.14,3.65,0.018
6,2950,151.2,4.06,2.66,0.027
7,5495,226.8,3.94,3.71,0.017
8,168314,178.2,3.92,3.18,0.022
9,9148,155.7,2.79,2.69,0.018
10,9074,181.0,2.71,3.22,0.015
11,162294,50.0,2.67,1.05,0.053
12,132551,200.5,2.53,3.46,0.013
13,161551,231.2,2.28,3.63,0.010
14,171164,13.0,2.02,0.25,0.155
15,5419,164.0,1.91,2.81,0.012
16,7580,121.8,1.63,2.09,0.013
17,167746,26.6,1.47,0.57,0.055
18,167960,267.1,1.21,4.01,0.005
19,184486,9.0,1.17,0.26,0.130
20,121615,31.8,1.15,0.60,0.036
21,11742,214.6,1.15,3.30,0.005
22,4955,7.0,1.03,0.15,0.148
23,6731,8.0,0.88,0.15,0.110
24,5783,32.1,0.67,0.61,0.021
25,206262,19.6,0.63,0.39,0.032
26,163723,12.0,0.62,0.24,0.051
27,199814,141.1,0.55,2.56,0.004
28,8197,3.0,0.54,0.07,0.179
29,207800,4.0,0.49,0.12,0.124
30,159128,41.5,0.48,0.85,0.011
31,158358,33.4,0.46,0.71,0.014
32,169390,17.1,0.43,0.36,0.025
33,217896,2.0,0.42,0.05,0.208
34,1632,8.0,0.40,0.09,0.050
35,914,5.0,0.33,0.11,0.065
36,206819,6.0,0.31,0.10,0.051
37,169242,3.0,0.28,0.04,0.095
38,147431,214.4,0.27,3.20,0.001
39,9428,3.0,0.23,0.03,0.078
40,163714,72.9,0.21,1.39,0.003
41,195974,1.0,0.19,0.03,0.185
42,159560,11.0,0.16,0.20,0.015
43,10146,4.0,0.15,0.07,0.037
44,159953,10.8,0.14,0.23,0.013
45,197678,5.5,0.13,0.11,0.025
46,3843,42.4,0.12,0.87,0.003
47,9361,1.0,0.12,0.02,0.115
48,44926256,1.0,0.12,0.02,0.115
49,208314,79.6,0.11,1.41,0.001
50,7947,1.0,0.11,0.02,0.108
51,168425,22.0,0.07,0.49,0.003
52,164744,15.0,0.07,0.33,0.005
53,113301,113.6,0.05,2.08,0.000
54,4379,13.0,0.05,0.31,0.004
55,3295,26.0,0.05,0.47,0.002
56,3243,5.1,0.04,0.09,0.009
57,167254,0.0,-0.00,0.00,-inf
58,201709,1.0,-0.01,0.00,-0.010
59,171819,13.0,-0.13,0.30,-0.010
60,206311,181.7,-0.13,3.09,-0.001
61,201780,11.1,-0.17,0.24,-0.015
62,168278,3.0,-0.23,0.06,-0.076
63,10596,5.0,-0.28,0.10,-0.056
64,204618,1.0,-0.31,0.04,-0.308
65,10019,5.0,-0.32,0.12,-0.064
66,7654,4.0,-0.37,0.07,-0.092
67,11500,16.1,-0.37,0.37,-0.023
68,5695,4.0,-0.44,0.09,-0.109
69,11548,4.0,-0.48,0.12,-0.119
70,7393,6.0,-0.50,0.15,-0.083
71,169374,12.0,-0.53,0.29,-0.044
72,172568,42.4,-0.54,0.87,-0.013
73,159919,76.7,-0.58,1.53,-0.008
74,11056,6.0,-0.65,0.14,-0.108
75,1341,7.9,-0.82,0.14,-0.104
76,158584,5.0,-0.82,0.10,-0.165
77,171682,1.0,-0.98,0.00,-0.982
78,187571,3.8,-1.01,0.11,-0.266
79,172307,56.2,-1.08,1.07,-0.019
80,6495,9.8,-1.14,0.20,-0.117
81,164908,4.0,-1.20,0.10,-0.301
82,201896,6.0,-1.23,0.10,-0.205
83,4331,13.0,-1.23,0.23,-0.095
84,206151,2.0,-1.27,0.06,-0.635
85,207428,63.0,-1.31,1.44,-0.021
86,168003,5.0,-1.32,0.18,-0.264
87,203336,9.0,-1.39,0.25,-0.155
88,9424,71.0,-1.46,1.35,-0.021
89,11249,9.2,-1.50,0.24,-0.162
90,200265,58.3,-1.69,1.29,-0.029
91,11869,185.2,-1.77,3.11,-0.010
92,158255,18.0,-1.83,0.49,-0.102
93,9210,60.1,-2.00,1.18,-0.033
94,2087,86.9,-2.19,1.83,-0.025
95,205278,15.0,-2.27,0.38,-0.152
96,206922,17.3,-2.53,0.46,-0.146
97,196902,61.9,-2.57,1.19,-0.041
98,189664,93.0,-2.68,1.90,-0.029
99,3911,82.0,-2.79,1.82,-0.034
100,5393,188.4,-3.52,3.21,-0.019
101,162393,218.3,-3.61,3.98,-0.017
102,9425,184.5,-3.69,3.22,-0.020
103,164881,117.5,-4.15,2.36,-0.035
104,160570,182.7,-4.16,3.38,-0.023
105,6619,57.1,-4.77,1.43,-0.084
106,171806,145.7,-5.15,3.04,-0.035
107,171885,96.8,-10.01,2.65,-0.103
